time,soil_moisture,temperature,air_humidity
1586878870,410,24.30,80.00
1586879718,415,24.40,94.00
1586880589,415,24.40,92.00
1586881494,415,24.30,95.00
1586882348,415,24.30,95.00
1586883190,412,24.30,95.00
1586884036,412,24.30,95.00
1586884882,416,24.50,95.00
1586885728,415,24.50,95.00
1586886571,412,24.50,95.00
1586887405,415,24.50,95.00
1586888248,415,24.50,95.00
1586889097,416,24.50,95.00
1586889954,416,24.60,95.00
1586890803,411,24.50,95.00
1586891660,412,24.50,92.00
1586892584,416,24.50,89.00
1586893433,416,24.50,95.00
1586894277,416,24.50,95.00
1586895183,416,24.50,95.00
1586896028,416,24.50,95.00
1586896865,416,24.50,95.00
1586897711,416,24.50,95.00
1586898555,412,24.50,95.00
1586899404,416,24.50,95.00
1586900247,416,24.50,95.00
1586901089,416,24.50,95.00
1586901937,416,24.50,95.00
1586902782,416,24.50,95.00
1586903626,416,24.50,95.00
1586904470,416,24.40,95.00
1586905314,416,24.40,95.00
1586906161,416,24.50,95.00
1586907009,416,24.40,95.00
1586907860,416,24.20,95.00
1586908710,417,24.20,95.00
1586909565,417,24.20,95.00
1586910408,417,24.20,95.00
1586911253,421,24.20,95.00
1586912099,422,24.20,95.00
1586912949,422,24.10,95.00
1586913796,422,24.20,95.00
1586914645,422,24.10,95.00
1586915491,422,24.10,95.00
1586916332,423,24.10,95.00
1586917184,423,24.10,95.00
1586918027,423,24.10,95.00
1586918873,423,24.00,95.00
1586919716,423,24.00,95.00
1586920564,423,24.00,95.00
1586921404,424,24.00,95.00
1586922245,424,24.00,95.00
1586923094,424,24.00,95.00
1586923938,424,24.00,95.00
1586924783,425,24.00,95.00
1586925626,425,24.00,95.00
1586926468,426,24.00,95.00
1586927309,426,24.10,95.00
1586928156,426,24.00,95.00
1586929002,426,24.00,95.00
1586929845,426,24.00,95.00
1586930688,418,24.00,95.00
1586931534,427,24.00,95.00
1586932377,427,23.80,83.00
1586933211,427,23.90,83.00
1586934134,427,23.90,84.00
1586934976,422,23.90,81.00
1586935820,428,23.90,81.00
1586936688,428,23.80,76.00
1586937547,428,23.90,63.00
1586938528,428,24.00,74.00
1586939392,423,24.10,73.00
1586940253,429,24.30,77.00
1586941244,429,24.30,71.00
1586942095,429,24.30,67.00
1586942938,430,24.50,65.00
1586943786,430,24.50,66.00
1586944627,426,24.50,67.00
1586945469,426,24.50,62.00
1586946312,426,24.50,71.00
1586947156,430,24.50,75.00
1586947998,430,24.50,79.00
1586948844,430,24.50,83.00
1586949686,432,24.50,86.00
1586950529,427,24.50,89.00
1586951369,432,24.60,90.00
1586952218,432,24.60,93.00
1586953067,433,24.60,95.00
1586953909,427,24.70,95.00
1586954754,427,24.70,95.00
1586955601,427,24.60,95.00
1586956450,427,24.60,95.00
1586957299,427,24.70,95.00
1586958151,433,24.70,95.00
1586959000,433,24.60,95.00
1586959846,433,24.60,95.00
1586960698,433,24.60,95.00
1586961545,433,24.60,95.00
1586962392,428,24.70,95.00
1586963239,428,24.70,95.00
1586964096,434,24.60,95.00
1586964954,434,24.60,95.00
1586965805,434,24.70,95.00
1586966666,434,24.60,95.00
1586967507,428,24.60,95.00
1586968350,434,24.70,95.00
1586969197,434,24.60,95.00
1586970048,434,24.60,95.00
1586970896,434,24.70,95.00
1586971743,434,24.70,95.00
1586972589,429,24.60,95.00
1586973441,435,24.60,95.00
1586974291,435,24.60,95.00
1586975144,436,24.50,95.00
1586976007,430,24.50,95.00
1586976861,436,24.50,95.00
1586977710,436,24.40,95.00
1586978560,430,24.50,95.00
1586979407,437,24.50,95.00
1586980250,437,24.50,95.00
1586981091,430,24.40,95.00
1586981941,430,24.40,95.00
1586982789,437,24.30,95.00
1586983659,437,24.50,95.00
1586984516,433,24.50,95.00
1586985360,438,24.50,95.00
1586986201,438,24.50,95.00
1586987053,438,24.50,95.00
1586987897,438,24.50,95.00
1586988746,433,24.50,95.00
1586989594,439,24.50,95.00
1586990441,434,24.50,95.00
1586991289,434,24.50,95.00
1586992134,439,24.50,95.00
1586992977,440,24.50,95.00
1586993818,435,24.50,95.00
1586994666,440,24.50,95.00
1586995514,440,24.40,95.00
1586996360,436,24.30,95.00
1586997201,440,24.30,95.00
1586998048,441,24.30,94.00
1586998898,441,24.40,95.00
1586999749,441,24.40,95.00
1587000600,441,24.30,95.00
1587001462,441,24.30,95.00
1587002305,441,24.30,95.00
1587003159,441,24.30,95.00
1587004011,441,24.30,95.00
1587004859,442,24.30,95.00
1587005705,442,24.30,95.00
1587006560,442,24.30,87.00
1587007406,444,24.30,95.00
1587008247,444,24.30,95.00
1587009096,446,24.30,95.00
1587009940,446,24.30,95.00
1587010792,446,24.30,95.00
1587011643,446,24.30,95.00
1587012485,446,24.20,95.00
1587013328,447,24.30,95.00
1587014175,447,24.20,95.00
1587015019,440,24.30,95.00
1587015864,447,24.20,95.00
1587016709,447,24.20,95.00
1587017556,447,24.20,95.00
1587018398,447,24.30,95.00
1587019249,448,24.20,95.00
1587020093,448,24.20,95.00
1587020938,448,24.30,95.00
1587021782,448,24.30,95.00
1587022628,448,24.20,95.00
1587023478,448,24.20,95.00
1587024336,449,23.00,93.00
1587025188,449,23.20,89.00
1587026049,450,23.40,82.00
1587026912,450,23.50,82.00
1587027783,450,23.50,79.00
1587028631,451,23.50,79.00
1587029477,451,24.00,75.00
1587030330,448,24.00,75.00
1587031174,452,24.20,75.00
1587032022,452,24.00,75.00
1587032884,453,24.10,73.00
1587033732,454,24.10,76.00
1587034582,454,24.10,78.00
1587035430,454,24.00,77.00
1587036278,457,24.00,76.00
1587037122,451,24.00,78.00
1587037972,457,24.00,75.00
